"","year","region","date_deploy","time_deploy","decimal_latitude_at_deployment_wgs84","decimal_longitude_at_deployment_wgs84","date_retrieve","time_retrieve","dec_lat_retrieve","dec_long_retrieve","sum_micro_m3","fibres_lte5mm_m3","beads_lte5mm_m3","polystyrene_lte5mm_m3","fragments_lte5mm_m3","film_lte5mm_m3","nurdles_lte5mm_m3","paint_flakes_lte5mm_m3"
"52",2018,"Clyde","20/10/2018","10:31",56.016,-4.87583,"20/10/2018","11:05",55.98633,-4.86483,0.0906,0,0,0.0151,0.0604,0.0151,0,0
"53",2018,"Clyde","20/10/2018","11:40",56.04017,-4.90083,"20/10/2018","12:12",56.07133,-4.88233,0.1833,0,0.0423,0,0.0987,0.0423,0,0
"54",2018,"Clyde","20/10/2018","12:20",56.07267,-4.88267,"20/10/2018","12:55",56.0985,-4.85683,1.0349,0.0314,0.392,0,0.4547,0.1568,0,0
"55",2018,"Clyde","20/10/2018","13:02",56.0995,-4.85583,"20/10/2018","13:34",56.12267,-4.826,0.0286,0.0143,0,0,0,0.0143,0,0
"56",2018,"Clyde","20/10/2018","13:48",56.12383,-4.826,"20/10/2018","14:22",56.15417,-4.80783,0.2941,0,0.07,0,0.154,0.07,0,0
"57",2018,"Clyde","20/10/2018","14:29",56.1655,-4.80683,"20/10/2018","15:01",56.18333,-4.77767,0.119,0,0.0298,0,0.0893,0,0,0
"58",2018,"Clyde","20/10/2018","15:15",56.17783,-4.78517,"20/10/2018","15:46",56.19833,-4.75333,0.6824,0.0569,0.0758,0,0.3222,0.2275,0,0
"59",2018,"Clyde","20/10/2018","16:17",56.19483,-4.754,"20/10/2018","16:30",56.19283,-4.771,0.2628,0,0,0,0.1752,0.0876,0,0
"60",2018,"Clyde","20/10/2018","17:16",56.19233,-4.75817,"20/10/2018","17:28",56.19117,-4.75817,0.1477,0,0,0,0.1477,0,0,0
"61",2018,"Clyde","20/10/2018","17:40",56.1905,-4.77983,"20/10/2018","17:49",56.18933,-4.776,0.9361,0.0624,0.0624,0,0.624,0.0624,0.1248,0
"62",2018,"Clyde","20/10/2018","18:00",56.18683,-4.77433,"20/10/2018","18:12",56.194,-4.765,0.1806,0,0.0903,0,0.0903,0,0,0
"63",2018,"Clyde","21/10/2018","08:30",56.1845,-4.774,"21/10/2018","08:45",56.194,-4.76383,0.3364,0.0336,0.1009,0,0.1682,0.0336,0,0
"64",2018,"Clyde","21/10/2018","10:11",56.10167,-4.88267,"21/10/2018","10:45",56.12967,-4.89733,0.378,0,0.1018,0,0.2181,0.0145,0,0.0436
"65",2018,"Clyde","21/10/2018","10:58",56.12633,-4.89667,"21/10/2018","11:34",56.15983,-4.90733,0.1371,0,0.0914,0,0.0229,0.0229,0,0
"66",2018,"Clyde","21/10/2018","12:12",56.1655,-4.90617,"21/10/2018","12:45",56.138,-4.89517,0.1161,0.0166,0.0332,0,0.0663,0,0,0
"67",2018,"Clyde","21/10/2018","12:51",56.14017,-4.89583,"21/10/2018","13:24",56.11017,-4.89733,0.1943,0,0,0,0.1619,0.0324,0,0
